單位名稱,連絡電話,區域別,縣市,經緯度,百步蛇,雨傘節,飯匙倩蛇,龜殼花,赤尾鮐蛇,鎖鏈蛇
天主教靈醫會醫療財團法人羅東聖母醫院,039-544106#6013,台北區,宜蘭縣,"24.672003924475238, 121.77156296905625",0.0,1.0,1.0,1.0,1.0,0.0
天成醫院,03-4782350#62527,北區,桃園市,"24.908905608712896, 121.15719352491375",0.0,1.0,1.0,1.0,1.0,0.0
天成醫療社團法人天晟醫院,03-4629292#22527,北區,桃園市,"24.96267957467601, 121.22904575762836",0.0,1.0,1.0,1.0,1.0,0.0
台中市和平區梨山衛生所,04-25989540#25,中區,台中市,"24.254524111392406, 121.25505949603735",1.0,1.0,1.0,1.0,1.0,0.0
台中市和平衛生所,04-25942781,中區,台中市,"24.17424452796916, 120.8886681150779",0.0,1.0,1.0,1.0,1.0,0.0
台東馬偕紀念醫院,089-310150#427,東區,台東縣,"22.751302189964385, 121.14090879971901",1.0,1.0,1.0,1.0,1.0,1.0
台東縣大武鄉衛生所,089-791325,東區,台東縣,"22.364419056671327, 120.90794329786513",1.0,1.0,1.0,1.0,1.0,1.0
台東縣太麻里鄉衛生所,089-781220,東區,台東縣,"22.61541875090506, 121.0075297997175",1.0,1.0,1.0,1.0,1.0,0.0
台東縣成功鎮衛生所,089-851419,東區,台東縣,"23.10015115711855, 121.37964787088731",0.0,0.0,0.0,1.0,1.0,0.0
台東縣池上鄉衛生所,089-862609,東區,台東縣,"23.12175152211799, 121.21501211321628",1.0,1.0,1.0,0.0,0.0,0.0
台東縣卑南鄉衛生所,089-382030,東區,台東縣,"22.782136596996036, 121.08842719971926",1.0,1.0,1.0,0.0,0.0,0.0
台東縣延平鄉衛生所,089-561358,東區,台東縣,"22.902280149688643, 121.08544504074662",1.0,1.0,1.0,0.0,0.0,0.0
台東縣東河鄉衛生所,089-896289,東區,台東縣,"22.96895762766469, 121.30342607088586",1.0,1.0,1.0,0.0,0.0,0.0
台東縣金峰鄉衛生所,089-771176,東區,台東縣,"22.532516903100817, 120.96077337088089",1.0,1.0,1.0,1.0,1.0,0.0
台東縣長濱鄉衛生所,089-831022,東區,台東縣,"23.319088443724876, 121.45385881136896",1.0,1.0,1.0,0.0,0.0,0.0
台東縣海端鄉衛生所,089-931391,東區,台東縣,"23.10135174976998, 121.17672764205143",1.0,1.0,1.0,0.0,0.0,0.0
台東縣鹿野鄉衛生所,089-551074,東區,台東縣,"22.9105673996796, 121.13640001506322",1.0,1.0,1.0,0.0,0.0,0.0
台東縣達仁鄉衛生所,089-702209,東區,台東縣,"22.29355099620507, 120.8849802690289",1.0,1.0,1.0,0.0,0.0,0.0
台東縣綠島鄉衛生所,089-672762,東區,台東縣,"22.6732547802884, 121.46974729971794",1.0,1.0,1.0,1.0,1.0,1.0
台東縣蘭嶼鄉衛生所,089-731619#209,東區,台東縣,"22.028620806284152, 121.55718434573865",1.0,1.0,1.0,1.0,1.0,1.0
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535#2019,台北區,台北市,"25.059016844190857, 121.52237822673236",1.0,1.0,1.0,1.0,1.0,0.0
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,06-5702228#1120,南區,台南市,"23.180376200029013, 120.23290005554567",0.0,1.0,1.0,1.0,1.0,0.0
光田醫療社團法人光田綜合醫院,04-26625111#2023,中區,台中市,"24.238017055809706, 120.55765136903509",0.0,1.0,1.0,1.0,1.0,0.0
安泰醫療社團法人安泰醫院,08-8329966,高屏區,屏東縣,"22.474486268932864, 120.45903395183875",0.0,1.0,1.0,0.0,0.0,0.0
安泰醫療社團法人潮州安泰醫院,08-7800888#2108,高屏區,屏東縣,"22.554222791966247, 120.54717568622362",0.0,1.0,1.0,1.0,1.0,0.0
竹山秀傳醫院,049-2624266#32140,中區,南投縣,"23.80027281334723, 120.71401059788141",0.0,0.0,0.0,1.0,1.0,0.0
行天宮醫療志業醫療財團法人恩主公醫院,02-26723456#7053,台北區,新北市,"24.93854546088194, 121.36298308440219",1.0,1.0,1.0,1.0,1.0,0.0
佑民醫療社團法人佑民醫院,049-2358151#1123,中區,南投縣,"23.960661118699488, 120.681906361103",0.0,0.0,0.0,1.0,1.0,0.0
佛教慈濟醫療財團法人台中慈濟醫院,04-36060666#4018,中區,台中市,"24.19590900910713, 120.72158661268189",1.0,1.0,1.0,1.0,1.0,0.0
佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,台北區,新北市,"24.98619722907502, 121.53521781166233",1.0,1.0,1.0,1.0,1.0,0.0
佛教慈濟醫療財團法人玉里慈濟醫院,03-8882718#802,東區,花蓮縣,"23.33513056389516, 121.3185882690405",1.0,1.0,1.0,1.0,1.0,0.0
佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825#3095,東區,花蓮縣,"23.995974502879324, 121.59385545816029",1.0,1.0,1.0,1.0,1.0,1.0
佛教慈濟醫療財團法人關山慈濟醫院,089-814880#152,東區,台東縣,"23.057421683795553, 121.166844872928",1.0,1.0,1.0,1.0,1.0,1.0
李綜合醫療社團法人大甲李綜合醫院,04-26862288#2162,中區,台中市,"24.350840729322623, 120.61808912672365",0.0,1.0,1.0,1.0,1.0,0.0
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,03-3613141#3358,北區,桃園市,"24.982210809518378, 121.31255908440265",0.0,1.0,1.0,1.0,1.0,0.0
秀傳醫療社團法人秀傳紀念醫院,04-7256166#81155,中區,彰化縣,"24.069725351199885, 120.53809304922356",0.0,1.0,1.0,1.0,1.0,0.0
秀傳醫療財團法人彰濱秀傳紀念醫院,04-7813888#70255,中區,彰化縣,"24.078667290152662, 120.41068035555598",0.0,1.0,1.0,1.0,1.0,0.0
亞洲大學附屬醫院,04-37061668#1146,中區,台中市,"24.053739850682714, 120.6860043113775",0.0,0.0,0.0,1.0,1.0,0.0
奇美醫療財團法人佳里奇美醫院,06-7263333,南區,台南市,"23.181925312333295, 120.18388835739512",0.0,1.0,1.0,1.0,1.0,0.0
奇美醫療財團法人奇美醫院,06-2812811#52533,南區,台南市,"23.022264229128, 120.22192794058331",0.0,1.0,1.0,1.0,1.0,0.0
宜蘭縣南澳鄉衛生所,039-981019,台北區,宜蘭縣,"24.465951728262024, 121.80344071138242",0.0,1.0,1.0,1.0,1.0,0.0
怡仁綜合醫院,03-4855566#1206,北區,桃園市,"24.917152336722157, 121.15547683837417",0.0,1.0,1.0,1.0,1.0,0.0
東元醫療社團法人東元綜合醫院,03-5527000#1185,北區,新竹縣,"24.824077734474955, 121.01408664392149",0.0,1.0,1.0,1.0,1.0,0.0
東基醫療財團法人台東基督教醫院,089-323362#1146,東區,台東縣,"22.76409664080444, 121.14610036903393",0.0,1.0,1.0,1.0,1.0,0.0
東勢區農會附設農民醫院,04-25771919#660,中區,台中市,"24.253748376639255, 120.82910625555813",0.0,1.0,1.0,1.0,1.0,0.0
枋寮醫療社團法人枋寮醫院,08-8789991#3201,高屏區,屏東縣,"22.364118928908585, 120.59627906533068",0.0,1.0,1.0,1.0,1.0,1.0
林新醫院,04-22586688#1719,中區,台中市,"24.149121553013607, 120.64030721137874",0.0,0.0,0.0,1.0,1.0,0.0
金門縣烈嶼鄉衛生所,082-362078,台北區,金門縣,"24.43580168610743, 118.23963314812622",0.0,1.0,1.0,0.0,0.0,0.0
金門縣衛生局,082-330697#615,台北區,金門縣,"24.440484565781098, 118.4198814555603",0.0,1.0,1.0,0.0,0.0,0.0
長庚醫療財團法人台北長庚紀念醫院,02-27135211#3673,台北區,台北市,"25.055689549205887, 121.54955998255417",0.0,0.0,0.0,1.0,1.0,0.0
長庚醫療財團法人林口長庚紀念醫院,03-3281200#2799,北區,桃園市,"25.06118217180439, 121.36761491323924",0.0,1.0,1.0,1.0,1.0,0.0
長庚醫療財團法人高雄長庚紀念醫院,07-7317123,高屏區,高雄市,"22.649808111551984, 120.35612034019692",0.0,1.0,1.0,1.0,1.0,0.0
長庚醫療財團法人基隆長庚紀念醫院,02-24313131#2194,台北區,基隆市,"25.149112937313777, 121.70774319789788",0.0,0.0,0.0,1.0,1.0,0.0
長庚醫療財團法人雲林長庚紀念醫院,05-6915151#2132,南區,雲林縣,"23.795768503370045, 120.21857475370317",0.0,1.0,1.0,1.0,1.0,0.0
長庚醫療財團法人嘉義長庚紀念醫院,05-3621000#2469,南區,嘉義縣,"23.462858160590223, 120.28531652856262",0.0,1.0,1.0,1.0,1.0,0.0
南投縣中寮鄉衛生所,049-2691404,中區,南投縣,"23.881014849750695, 120.7655485113754",0.0,0.0,0.0,1.0,1.0,0.0
南投縣仁愛鄉衛生所,049-2802341#102,中區,南投縣,"24.024483472310628, 121.13439302671978",1.0,1.0,1.0,1.0,1.0,0.0
南投縣信義鄉衛生所,049-2791148#1148,中區,南投縣,"23.696556239716724, 120.85467109788023",1.0,1.0,1.0,0.0,0.0,0.0
南投縣魚池鄉衛生所,049-2895513#205,中區,南投縣,"23.69649729418638, 120.85461745370202",1.0,1.0,1.0,1.0,1.0,0.0
南投縣鹿谷鄉衛生所,049-2752002,中區,南投縣,"23.7451873699323, 120.75451464205895",1.0,1.0,1.0,1.0,1.0,0.0
南門醫療社團法人南門醫院,08-8894568#60及11,高屏區,屏東縣,"22.001055903424678, 120.74548521505326",0.0,1.0,1.0,1.0,1.0,1.0
屏東縣琉球鄉衛生所,08-8612513,高屏區,屏東縣,"22.348620136665392, 120.37835026902947",0.0,1.0,1.0,1.0,1.0,0.0
屏東縣滿州鄉衛生所,08-8801279,高屏區,屏東縣,"22.01876523355521, 120.83802226902586",0.0,0.0,0.0,1.0,1.0,0.0
屏東縣霧台鄉衛生所,08-7902232,高屏區,屏東縣,"22.75002016222366, 120.72607362670509",1.0,1.0,1.0,1.0,1.0,0.0
屏基醫療財團法人屏東基督教醫院,08-7363026,高屏區,屏東縣,"22.682271056664607, 120.50271289498998",1.0,1.0,1.0,1.0,1.0,1.0
恆基醫療財團法人恆春基督教醫院,08-8892293#136,高屏區,屏東縣,"22.002514744404685, 120.74104598251878",0.0,1.0,1.0,1.0,1.0,0.0
苑裡李綜合醫院,037-862387#1112,北區,苗栗縣,"24.441863322958184, 120.65270200953269",0.0,1.0,1.0,1.0,1.0,0.0
振興醫療財團法人振興醫院,02-28264400#5640,台北區,台北市,"25.116199229971176, 121.52312344291497",1.0,1.0,1.0,1.0,1.0,0.0
桃園市八德區衛生所,03-3662781#319,北區,桃園市,"24.947595806206117, 121.29858345556663",1.0,1.0,1.0,1.0,1.0,0.0
桃園市大園區衛生所,03-3862024,北區,桃園市,"25.063595162881303, 121.1953795267323",1.0,1.0,1.0,1.0,1.0,0.0
桃園市大溪區衛生所,03-3882401#304,北區,桃園市,"24.884595944238423, 121.28554964207277",1.0,1.0,1.0,1.0,1.0,0.0
桃園市復興區衛生所,03-3822325#308,北區,桃園市,"24.8150276956161, 121.3510977015926",1.0,1.0,1.0,1.0,1.0,0.0
桃園市新屋區衛生所,03-4772196#30,北區,桃園市,"24.972690596704805, 121.1066570997451",1.0,0.0,0.0,0.0,0.0,0.0
桃園市蘆竹區衛生所,03-3524732,北區,桃園市,"25.06324823097637, 121.28039064207492",1.0,1.0,1.0,1.0,1.0,0.0
桃園市觀音區衛生所,03-4732031#217,北區,桃園市,"25.02776509830933, 121.0832744383757",1.0,1.0,1.0,1.0,1.0,0.0
疾病管制署檢驗及疫苗研製中心,02-27850513#807,台北區,台北市,"25.049350861466486, 121.5949885844037",1.0,1.0,1.0,1.0,1.0,1.0
財團法人佛教慈濟綜合醫院大林分院,05-2648000#5358,南區,嘉義縣,"23.596091902689825, 120.45745973041372",0.0,0.0,0.0,1.0,1.0,0.0
財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101#7174,高屏區,高雄市,"22.646241318094358, 120.30958292670387",1.0,1.0,1.0,1.0,1.0,1.0
財團法人奇美醫院柳營分院,06-6226999#72531,南區,台南市,"23.28956295088482, 120.32548161321813",0.0,1.0,1.0,1.0,1.0,0.0
財團法人為恭紀念醫院,037-676811#88311,北區,苗栗縣,"24.688120939277958, 120.90757243467486",0.0,1.0,1.0,1.0,1.0,0.0
財團法人埔里基督教醫院,049-2912151#1012,中區,南投縣,"23.970558495495474, 120.9462825155996",0.0,0.0,0.0,1.0,1.0,0.0
財團法人徐元智先生醫藥基金會附設亞東紀念醫院,02-89667000#2886,台北區,新北市,"24.997272383994012, 121.45296593200658",0.0,1.0,1.0,1.0,1.0,0.0
財團法人基督長老教會馬偕紀念醫院淡水分院,02-28094661#2258,台北區,新北市,"25.141908316697958, 121.45928908151667",0.0,1.0,1.0,1.0,1.0,0.0
高雄市六龜區衛生所,07-6892844,高屏區,高雄市,"22.99879225788908, 120.63345965924253",1.0,1.0,1.0,1.0,1.0,0.0
高雄市甲仙區衛生所,07-6751029,高屏區,高雄市,"23.08387841313679, 120.58728408438002",1.0,1.0,1.0,1.0,1.0,0.0
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),07-2911101#8375,高屏區,高雄市,"22.627222742493366, 120.29729391136118",0.0,1.0,1.0,1.0,1.0,0.0
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07-8036783#3042,高屏區,高雄市,"22.568072166355087, 120.36331914019621",1.0,1.0,1.0,1.0,1.0,1.0
高雄市那瑪夏區衛生所,07-6701142,高屏區,高雄市,"23.247130540433496, 120.70237182856012",1.0,1.0,1.0,1.0,1.0,1.0
高雄市茂林區衛生所,07-6801046#26,高屏區,高雄市,"22.886541280043886, 120.66409955554226",1.0,1.0,1.0,1.0,1.0,0.0
高雄市桃源區衛生所,07-6861126#200,高屏區,高雄市,"23.158387528117384, 120.7644600169155",1.0,1.0,1.0,1.0,1.0,1.0
高雄榮民總醫院,07-3422121#5101,高屏區,高雄市,"22.680546283798805, 120.3220565542373",1.0,1.0,1.0,1.0,1.0,0.0
高雄榮民總醫院屏東分院,08-7704115#725,高屏區,屏東縣,"22.674744974952112, 120.59901245369032",1.0,1.0,1.0,1.0,1.0,0.0
國仁醫院,08-7223000#7228,高屏區,屏東縣,"22.65849319887624, 120.51452754019715",0.0,0.0,0.0,1.0,1.0,0.0
國立台灣大學醫學院附設醫院金山分院,02-24989898#1008,台北區,新北市,"25.21979603818298, 121.62846337091263",0.0,0.0,0.0,1.0,1.0,0.0
國立台灣大學醫學院附設醫院雲林分院(斗六院區),05-5323911#2001,南區,雲林縣,"23.696663448375226, 120.52617782856528",0.0,1.0,1.0,1.0,1.0,0.0
國立成功大學醫學院附設醫院,06-2353535#4526,南區,台南市,"23.003571590388585, 120.21988668342395",0.0,1.0,1.0,1.0,1.0,0.0
國立成功大學醫學院附設醫院斗六分院,05-5332121#6322,南區,雲林縣,"23.702166677196114, 120.54572617856547",0.0,1.0,1.0,1.0,1.0,0.0
國立陽明大學附設醫院,03-9325192#10301,台北區,宜蘭縣,"24.75820567837426, 121.75408810160093",0.0,1.0,1.0,1.0,1.0,0.0
國立臺灣大學醫學院附設醫院,02-23123456#62237,台北區,台北市,"25.041030695658954, 121.51902921323908",1.0,1.0,1.0,1.0,1.0,0.0
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,03-5330133,北區,新竹縣,"24.823675264167083, 120.98216090384972",0.0,1.0,1.0,1.0,1.0,0.0
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),03-5343248,北區,新竹縣,"24.726105750930497, 121.09168085805061",0.0,1.0,1.0,1.0,1.0,0.0
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,03-5326151#6630,北區,新竹市,"24.81594995109505, 120.98058098255106",0.0,1.0,1.0,1.0,1.0,0.0
國軍台中總醫院附設民眾診療服務處,04-23934191#525420,中區,台中市,"24.152131542838017, 120.7306953726101",0.0,1.0,1.0,1.0,1.0,0.0
國軍花蓮總醫院附設民眾診療處,03-8263151#815141,東區,花蓮縣,"24.024411398017204, 121.607009889666",1.0,1.0,1.0,1.0,1.0,0.0
國軍桃園總醫院,03-4799595#325548,北區,桃園市,"24.877612083247282, 121.23503815926468",0.0,1.0,1.0,1.0,1.0,0.0
國軍高雄總醫院左營分院,07-5817121#2012,高屏區,高雄市,"22.702205827734794, 120.29151145129443",0.0,1.0,1.0,1.0,1.0,0.0
國軍高雄總醫院岡山分院,07-6250919#123,高屏區,高雄市,"22.789679849550605, 120.2856306978699",1.0,1.0,1.0,1.0,1.0,0.0
國軍高雄總醫院附設民眾診療服務處,07-7496730,高屏區,高雄市,"22.62646282840316, 120.3412987036131",1.0,1.0,1.0,1.0,1.0,0.0
國家中山科學研究院石園診所,03-472201#351630,北區,桃園市,"24.839144555938397, 121.24134531720883",1.0,1.0,1.0,1.0,1.0,0.0
國泰醫療財團法人汐止國泰綜合醫院,02-26482121#2328,台北區,新北市,"25.07284465186943, 121.66120635556808",0.0,1.0,1.0,1.0,1.0,0.0
國泰醫療財團法人國泰綜合醫院,02-27082121#3825,台北區,台北市,"25.037313208418777, 121.55405363492102",0.0,1.0,1.0,1.0,1.0,0.0
國泰醫療財團法人新竹國泰綜合醫院,03-5278999#2796,北區,新竹市,"24.798337260789527, 120.96532238440041",0.0,1.0,1.0,1.0,1.0,0.0
康寧醫療財團法人康寧醫院,02-26345500#2926,台北區,台北市,"25.07597844813765, 121.60882082488321",1.0,1.0,1.0,1.0,1.0,0.0
敏盛綜合醫院,03-3179599#7309,北區,桃園市,"25.017164691691082, 121.3063704514657",0.0,1.0,1.0,1.0,1.0,0.0
連江縣北竿衛生所,08-3655592#8871,台北區,連江縣,"26.22337354804799, 119.99622476722664",0.0,1.0,1.0,1.0,1.0,0.0
連江縣立醫院,083-623995#2107,台北區,連江縣,"26.161097681018575, 119.94901849976048",0.0,1.0,1.0,1.0,1.0,0.0
連江縣西莒衛生所,083-689122,台北區,連江縣,"25.968083031191817, 119.93808781510035",0.0,1.0,1.0,1.0,1.0,0.0
連江縣東引鄉衛生所,083-677206,台北區,連江縣,"26.36750576249727, 120.49053983414716",0.0,1.0,1.0,1.0,1.0,0.0
連江縣東莒衛生所,083-689038#8911,台北區,連江縣,"25.958344658768908, 119.97691158441512",0.0,1.0,1.0,1.0,1.0,0.0
連江縣衛生局,083-622095#8852,台北區,連江縣,"26.161348318749045, 119.94929415373261",0.0,1.0,1.0,1.0,1.0,0.0
童綜合醫療社團法人童綜合醫院,04-26581919#4640,中區,台中市,"24.24794470461962, 120.54299820663869",0.0,1.0,1.0,1.0,1.0,0.0
陽明醫院,05-2252000,南區,嘉義市,"23.480707414878953, 120.45364824557156",1.0,1.0,1.0,1.0,1.0,0.0
新北市立土城醫院(委託長庚醫療財團法人興建經營),02-22630588#2597,台北區,新北市,"24.976285941125433, 121.44874605556697",0.0,1.0,1.0,1.0,1.0,0.0
新北市立聯合醫院三重院區,02-29829111#3152,台北區,新北市,"25.06087424730427, 121.49053491138983",1.0,1.0,1.0,1.0,1.0,0.0
新北市貢寮區衛生所,02-24901431,台北區,新北市,"25.055098738092877, 121.92752475556799",0.0,1.0,1.0,1.0,1.0,0.0
新光醫療財團法人新光吳火獅紀念醫院,02-28332211,台北區,台北市,"25.096454703637715, 121.52031745278153",1.0,1.0,1.0,1.0,1.0,0.0
新竹馬偕紀念醫院,03-6119595#3210,北區,新竹市,"24.800441795842566, 120.9907439113866",0.0,0.0,0.0,1.0,1.0,0.0
新竹縣五峰鄉衛生所,03-5851005,北區,新竹縣,"24.631623873859382, 121.11924631138456",1.0,1.0,1.0,1.0,1.0,0.0
新竹縣尖石鄉衛生所,03-5842356,北區,新竹縣,"24.70585314551135, 121.20236339789246",0.0,1.0,1.0,1.0,1.0,0.0
義大醫療財團法人義大醫院,07-6150011#257010,高屏區,高雄市,"22.76597593600509, 120.36436622670533",1.0,1.0,1.0,1.0,1.0,0.0
嘉義縣大埔鄉衛生所,05-2521214,南區,嘉義縣,"23.295280322193424, 120.59324384020432",1.0,1.0,1.0,1.0,1.0,0.0
嘉義縣阿里山鄉衛生所,05-2561573,南區,嘉義縣,"23.455526015751847, 120.74889264586167",1.0,1.0,1.0,1.0,1.0,0.0
嘉義縣梅山鄉衛生所,05-2621049,南區,嘉義縣,"23.58655929142918, 120.55559954541599",1.0,1.0,1.0,1.0,1.0,0.0
嘉義縣衛生局,05-3620600#254,南區,嘉義縣,"23.457595553347215, 120.29308742671316",1.0,0.0,0.0,1.0,1.0,0.0
彰化基督教醫療財團法人二林基督教醫院,04-8952031#8178,中區,彰化縣,"23.893693687517366, 120.36338019788255",0.0,1.0,1.0,0.0,0.0,0.0
彰化基督教醫療財團法人南投基督教醫院,049-2225595,中區,南投縣,"23.898923911411025, 120.6839588690468",0.0,0.0,0.0,1.0,1.0,0.0
彰化基督教醫療財團法人彰化基督教醫院,04-7238595#3158,中區,彰化縣,"24.071284347101457, 120.54440744766303",0.0,1.0,1.0,1.0,1.0,0.0
臺中市政府衛生局,04-25265394#3585,中區,台中市,"24.248143783465224, 120.71370104094913",1.0,0.0,0.0,0.0,0.0,0.0
臺中榮民總醫院,04-23592525#4607,中區,台中市,"24.18465373304618, 120.60445795370785",1.0,1.0,1.0,1.0,1.0,1.0
臺中榮民總醫院埔里分院,049-2990833#3073,中區,南投縣,"23.975885523383617, 120.99586677292798",0.0,1.0,1.0,1.0,1.0,0.0
臺中榮民總醫院嘉義分院,05-2359630#1801,南區,嘉義市,"23.46637424501775, 120.42317409972705",0.0,1.0,1.0,1.0,1.0,0.0
臺中榮民總醫院灣橋分院,05-2791072#7109,南區,嘉義縣,"23.487249524663415, 120.50687311322041",0.0,1.0,1.0,1.0,1.0,0.0
臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,02-29307930#1160,台北區,台北市,"25.00003939117451, 121.55816365556724",0.0,1.0,1.0,1.0,1.0,0.0
臺北市立聯合醫院中興院區,02-25523234#3030,台北區,台北市,"25.051333001569056, 121.50935941906098",0.0,1.0,1.0,1.0,1.0,0.0
臺北市立聯合醫院忠孝院區,02-27861288#8092,台北區,台北市,"25.046737082637446, 121.58619404207472",0.0,0.0,0.0,1.0,1.0,0.0
臺北市立聯合醫院陽明院區,02-28353456#5134,台北區,台北市,"25.105458120657694, 121.53214653609649",0.0,1.0,1.0,1.0,1.0,0.0
臺北榮民總醫院,02-28757437,台北區,台北市,"25.11987054692191, 121.52019129789761",1.0,1.0,1.0,1.0,1.0,1.0
臺北榮民總醫院玉里分院,03-8883141#387,東區,花蓮縣,"23.339319578683135, 121.31196574085662",1.0,1.0,1.0,0.0,0.0,1.0
臺北榮民總醫院新竹分院,03-5962134,北區,新竹縣,"24.72263546598261, 121.10009709604327",1.0,1.0,1.0,1.0,1.0,0.0
臺北榮民總醫院鳳林分院,03-8764539#304,東區,花蓮縣,"23.726649594548896, 121.43997945555179",0.0,1.0,1.0,1.0,1.0,0.0
臺北榮民總醫院蘇澳分院,03-9905106#3601,台北區,宜蘭縣,"24.613547562114874, 121.84928946905555",1.0,1.0,1.0,1.0,1.0,0.0
臺北醫學大學附設醫院,02-27372181#5010,台北區,台北市,"25.026073623600404, 121.56230821933407",1.0,1.0,1.0,1.0,1.0,0.0
臺東縣衛生局,089-331171#223,東區,台東縣,"22.75762249150204, 121.14882651136263",0.0,0.0,0.0,1.0,1.0,0.0
臺灣區煤礦業同業公會附設臺灣礦工醫院,02-24579101#243,台北區,基隆市,"25.10798969582308, 121.73323008520514",0.0,1.0,1.0,0.0,0.0,0.0
臺灣基督教門諾會醫療財團法人門諾醫院,03-8241016,東區,花蓮縣,"23.98833100184354, 121.62668096904805",0.0,1.0,1.0,1.0,1.0,0.0
輔仁大學學校財團法人輔仁大學附設醫院,02-85128888#23074,台北區,新北市,"25.040294647488963, 121.43121185371831",0.0,1.0,1.0,1.0,1.0,0.0
輔英科技大學附設醫院,08-8323146#1268,高屏區,屏東縣,"22.46532074352922, 120.45290048080318",0.0,1.0,1.0,1.0,1.0,0.0
澄清綜合醫院,04-24632000#66106,中區,台中市,"24.142984901865447, 120.68163123696685",0.0,0.0,0.0,1.0,1.0,0.0
澄清綜合醫院中港分院,04-24632000#55260,中區,台中市,"24.182949958974568, 120.6171185132284",0.0,0.0,0.0,1.0,1.0,0.0
澎湖縣七美鄉衛生所,06-9971005,高屏區,澎湖縣,"23.20419418486604, 119.43091489972396",1.0,1.0,1.0,1.0,1.0,0.0
澎湖縣政府衛生局,06-9272162,高屏區,澎湖縣,"23.569670823854487, 119.56635362671426",0.0,1.0,1.0,0.0,0.0,0.0
澎湖縣望安衛生所,06-9991036,高屏區,澎湖縣,"23.36189468478686, 119.49743741136948",1.0,1.0,1.0,0.0,0.0,0.0
衛生福利部台中醫院,04-22294411,中區,台中市,"24.14054700331382, 120.67628038254286",0.0,0.0,0.0,1.0,1.0,0.0
衛生福利部台南醫院,06-2200055#3030,南區,台南市,"22.996149694811454, 120.2088563402008",0.0,0.0,0.0,1.0,1.0,0.0
衛生福利部台南醫院新化分院,06-5911929#3023,南區,台南市,"23.06282138435717, 120.33659296903733",0.0,1.0,1.0,1.0,1.0,0.0
