物資分類,單位名稱,連絡電話,區域別,縣市,經緯度
抗龜殼花及赤尾鮐蛇毒血清,中國醫藥大學附設醫院,04-22062121#5434,中區,台中市,"24.15740580132385, 120.68053481525672"
抗龜殼花及赤尾鮐蛇毒血清,中國醫藥大學新竹附設醫院,03-5580558#1436,北區,新竹縣,"24.8242502840132, 121.0020557825513"
抗百步蛇毒血清,仁愛醫院 (新北市),02-26834567#2999,台北區,新北市,"24.987357476707217, 121.42007845556714"
抗雨傘節及飯匙倩蛇毒血清,仁愛醫院 (新北市),02-26834567#2999,台北區,新北市,"24.987357476707217, 121.42007845556714"
抗龜殼花及赤尾鮐蛇毒血清,仁愛醫院 (新北市),02-26834567#2999,台北區,新北市,"24.987357476707217, 121.42007845556714"
抗龜殼花及赤尾鮐蛇毒血清,仁愛醫療財團法人大里仁愛醫院,04-24819900#11224,中區,台中市,"24.109302250349963, 120.68054021322764"
抗百步蛇毒血清,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,05-2756000#3113,南區,嘉義市,"23.476359251929978, 120.46748556196115"
抗雨傘節及飯匙倩蛇毒血清,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,05-2756000#3113,南區,嘉義市,"23.476359251929978, 120.46748556196115"
抗龜殼花及赤尾鮐蛇毒血清,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,05-2756000#3113,南區,嘉義市,"23.476359251929978, 120.46748556196115"
抗雨傘節及飯匙倩蛇毒血清,天主教仁慈醫療財團法人仁慈醫院,03-5993500#2021,北區,新竹縣,"24.900665969205605, 121.04545670371648"
抗龜殼花及赤尾鮐蛇毒血清,天主教仁慈醫療財團法人仁慈醫院,03-5993500#2021,北區,新竹縣,"24.900665969205605, 121.04545670371648"
抗雨傘節及飯匙倩蛇毒血清,天主教耕莘醫療財團法人永和耕莘醫院,02-29251302#10113,台北區,新北市,"25.01192060805555, 121.51799640182936"
抗龜殼花及赤尾鮐蛇毒血清,天主教耕莘醫療財團法人永和耕莘醫院,02-29251302#10113,台北區,新北市,"25.01192060805555, 121.51799640182936"
抗雨傘節及飯匙倩蛇毒血清,天主教耕莘醫療財團法人耕莘醫院,02-22193391#15056,台北區,新北市,"25.01192060805555, 121.51799640182936"
抗龜殼花及赤尾鮐蛇毒血清,天主教耕莘醫療財團法人耕莘醫院,02-22193391#15056,台北區,新北市,"25.01192060805555, 121.51799640182936"
抗龜殼花及赤尾鮐蛇毒血清,天主教靈醫會醫療財團法人礁溪杏和醫院,039-886996#402,台北區,宜蘭縣,"24.820762226178704, 121.76912865371541"
抗雨傘節及飯匙倩蛇毒血清,天主教靈醫會醫療財團法人羅東聖母醫院,039-544106#6013,台北區,宜蘭縣,"24.672003924475238, 121.77156296905625"
抗龜殼花及赤尾鮐蛇毒血清,天主教靈醫會醫療財團法人羅東聖母醫院,039-544106#6013,台北區,宜蘭縣,"24.672003924475238, 121.77156296905625"
抗雨傘節及飯匙倩蛇毒血清,天成醫院,03-4782350#62527,北區,桃園市,"24.908905608712896, 121.15719352491375"
抗龜殼花及赤尾鮐蛇毒血清,天成醫院,03-4782350#62527,北區,桃園市,"24.908905608712896, 121.15719352491375"
抗雨傘節及飯匙倩蛇毒血清,天成醫療社團法人天晟醫院,03-4629292#22527,北區,桃園市,"24.96267957467601, 121.22904575762836"
抗龜殼花及赤尾鮐蛇毒血清,天成醫療社團法人天晟醫院,03-4629292#22527,北區,桃園市,"24.96267957467601, 121.22904575762836"
抗百步蛇毒血清,台中市和平區梨山衛生所,04-25989540#25,中區,台中市,"24.254524111392406, 121.25505949603735"
抗雨傘節及飯匙倩蛇毒血清,台中市和平區梨山衛生所,04-25989540#25,中區,台中市,"24.254524111392406, 121.25505949603735"
抗龜殼花及赤尾鮐蛇毒血清,台中市和平區梨山衛生所,04-25989540#25,中區,台中市,"24.254524111392406, 121.25505949603735"
抗雨傘節及飯匙倩蛇毒血清,台中市和平衛生所,04-25942781,中區,台中市,"24.17424452796916, 120.8886681150779"
抗龜殼花及赤尾鮐蛇毒血清,台中市和平衛生所,04-25942781,中區,台中市,"24.17424452796916, 120.8886681150779"
抗百步蛇毒血清,台東馬偕紀念醫院,089-310150#427,東區,台東縣,"22.751302189964385, 121.14090879971901"
抗雨傘節及飯匙倩蛇毒血清,台東馬偕紀念醫院,089-310150#427,東區,台東縣,"22.751302189964385, 121.14090879971901"
抗龜殼花及赤尾鮐蛇毒血清,台東馬偕紀念醫院,089-310150#427,東區,台東縣,"22.751302189964385, 121.14090879971901"
抗鎖鏈蛇毒血清,台東馬偕紀念醫院,089-310150#427,東區,台東縣,"22.751302189964385, 121.14090879971901"
抗百步蛇毒血清,台東縣大武鄉衛生所,089-791325,東區,台東縣,"22.364419056671327, 120.90794329786513"
抗雨傘節及飯匙倩蛇毒血清,台東縣大武鄉衛生所,089-791325,東區,台東縣,"22.364419056671327, 120.90794329786513"
抗龜殼花及赤尾鮐蛇毒血清,台東縣大武鄉衛生所,089-791325,東區,台東縣,"22.364419056671327, 120.90794329786513"
抗鎖鏈蛇毒血清,台東縣大武鄉衛生所,089-791325,東區,台東縣,"22.364419056671327, 120.90794329786513"
抗百步蛇毒血清,台東縣太麻里鄉衛生所,089-781220,東區,台東縣,"22.61541875090506, 121.0075297997175"
抗雨傘節及飯匙倩蛇毒血清,台東縣太麻里鄉衛生所,089-781220,東區,台東縣,"22.61541875090506, 121.0075297997175"
抗龜殼花及赤尾鮐蛇毒血清,台東縣太麻里鄉衛生所,089-781220,東區,台東縣,"22.61541875090506, 121.0075297997175"
抗龜殼花及赤尾鮐蛇毒血清,台東縣成功鎮衛生所,089-851419,東區,台東縣,"23.10015115711855, 121.37964787088731"
抗百步蛇毒血清,台東縣池上鄉衛生所,089-862609,東區,台東縣,"23.12175152211799, 121.21501211321628"
抗雨傘節及飯匙倩蛇毒血清,台東縣池上鄉衛生所,089-862609,東區,台東縣,"23.12175152211799, 121.21501211321628"
抗百步蛇毒血清,台東縣卑南鄉衛生所,089-382030,東區,台東縣,"22.782136596996036, 121.08842719971926"
抗雨傘節及飯匙倩蛇毒血清,台東縣卑南鄉衛生所,089-382030,東區,台東縣,"22.782136596996036, 121.08842719971926"
抗百步蛇毒血清,台東縣延平鄉衛生所,089-561358,東區,台東縣,"22.902280149688643, 121.08544504074662"
抗雨傘節及飯匙倩蛇毒血清,台東縣延平鄉衛生所,089-561358,東區,台東縣,"22.902280149688643, 121.08544504074662"
抗百步蛇毒血清,台東縣東河鄉衛生所,089-896289,東區,台東縣,"22.96895762766469, 121.30342607088586"
抗雨傘節及飯匙倩蛇毒血清,台東縣東河鄉衛生所,089-896289,東區,台東縣,"22.96895762766469, 121.30342607088586"
抗百步蛇毒血清,台東縣金峰鄉衛生所,089-771176,東區,台東縣,"22.532516903100817, 120.96077337088089"
抗雨傘節及飯匙倩蛇毒血清,台東縣金峰鄉衛生所,089-771176,東區,台東縣,"22.532516903100817, 120.96077337088089"
抗龜殼花及赤尾鮐蛇毒血清,台東縣金峰鄉衛生所,089-771176,東區,台東縣,"22.532516903100817, 120.96077337088089"
抗百步蛇毒血清,台東縣長濱鄉衛生所,089-831022,東區,台東縣,"23.319088443724876, 121.45385881136896"
抗雨傘節及飯匙倩蛇毒血清,台東縣長濱鄉衛生所,089-831022,東區,台東縣,"23.319088443724876, 121.45385881136896"
抗百步蛇毒血清,台東縣海端鄉衛生所,089-931391,東區,台東縣,"23.10135174976998, 121.17672764205143"
抗雨傘節及飯匙倩蛇毒血清,台東縣海端鄉衛生所,089-931391,東區,台東縣,"23.10135174976998, 121.17672764205143"
抗百步蛇毒血清,台東縣鹿野鄉衛生所,089-551074,東區,台東縣,"22.9105673996796, 121.13640001506322"
抗雨傘節及飯匙倩蛇毒血清,台東縣鹿野鄉衛生所,089-551074,東區,台東縣,"22.9105673996796, 121.13640001506322"
抗百步蛇毒血清,台東縣達仁鄉衛生所,089-702209,東區,台東縣,"22.29355099620507, 120.8849802690289"
抗雨傘節及飯匙倩蛇毒血清,台東縣達仁鄉衛生所,089-702209,東區,台東縣,"22.29355099620507, 120.8849802690289"
抗百步蛇毒血清,台東縣綠島鄉衛生所,089-672762,東區,台東縣,"22.6732547802884, 121.46974729971794"
抗雨傘節及飯匙倩蛇毒血清,台東縣綠島鄉衛生所,089-672762,東區,台東縣,"22.6732547802884, 121.46974729971794"
抗龜殼花及赤尾鮐蛇毒血清,台東縣綠島鄉衛生所,089-672762,東區,台東縣,"22.6732547802884, 121.46974729971794"
抗鎖鏈蛇毒血清,台東縣綠島鄉衛生所,089-672762,東區,台東縣,"22.6732547802884, 121.46974729971794"
抗百步蛇毒血清,台東縣蘭嶼鄉衛生所,089-731619#209,東區,台東縣,"22.028620806284152, 121.55718434573865"
抗雨傘節及飯匙倩蛇毒血清,台東縣蘭嶼鄉衛生所,089-731619#209,東區,台東縣,"22.028620806284152, 121.55718434573865"
抗龜殼花及赤尾鮐蛇毒血清,台東縣蘭嶼鄉衛生所,089-731619#209,東區,台東縣,"22.028620806284152, 121.55718434573865"
抗鎖鏈蛇毒血清,台東縣蘭嶼鄉衛生所,089-731619#209,東區,台東縣,"22.028620806284152, 121.55718434573865"
抗百步蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535#2019,台北區,台北市,"25.059016844190857, 121.52237822673236"
抗雨傘節及飯匙倩蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535#2019,台北區,台北市,"25.059016844190857, 121.52241041323929"
抗龜殼花及赤尾鮐蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535#2019,台北區,台北市,"25.059016844190857, 121.52237822673236"
抗雨傘節及飯匙倩蛇毒血清,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,06-5702228#1120,南區,台南市,"23.180376200029013, 120.23290005554567"
抗龜殼花及赤尾鮐蛇毒血清,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,06-5702228#1120,南區,台南市,"23.180376200029013, 120.23290005554567"
抗雨傘節及飯匙倩蛇毒血清,光田醫療社團法人光田綜合醫院,04-26625111#2023,中區,台中市,"24.238017055809706, 120.55765136903509"
抗龜殼花及赤尾鮐蛇毒血清,光田醫療社團法人光田綜合醫院,04-26625111#2023,中區,台中市,"24.238017055809706, 120.55765136903509"
抗雨傘節及飯匙倩蛇毒血清,安泰醫療社團法人安泰醫院,08-8329966,高屏區,屏東縣,"22.474486268932864, 120.45903395183875"
抗雨傘節及飯匙倩蛇毒血清,安泰醫療社團法人潮州安泰醫院,08-7800888#2108,高屏區,屏東縣,"22.554222791966247, 120.54717568622362"
抗龜殼花及赤尾鮐蛇毒血清,安泰醫療社團法人潮州安泰醫院,08-7800888#2108,高屏區,屏東縣,"22.554222791966247, 120.54717568622362"
抗龜殼花及赤尾鮐蛇毒血清,竹山秀傳醫院,049-2624266#32140,中區,南投縣,"23.80027281334723, 120.71401059788141"
抗百步蛇毒血清,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456#7053,台北區,新北市,"24.93854546088194, 121.36298308440219"
抗雨傘節及飯匙倩蛇毒血清,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456#7053,台北區,新北市,"24.93854546088194, 121.36298308440219"
抗龜殼花及赤尾鮐蛇毒血清,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456#7053,台北區,新北市,"24.93854546088194, 121.36298308440219"
抗龜殼花及赤尾鮐蛇毒血清,佑民醫療社團法人佑民醫院,049-2358151#1123,中區,南投縣,"23.960661118699488, 120.681906361103"
抗百步蛇毒血清,佛教慈濟醫療財團法人台中慈濟醫院,04-36060666#4018,中區,台中市,"24.19590900910713, 120.72158661268189"
抗雨傘節及飯匙倩蛇毒血清,佛教慈濟醫療財團法人台中慈濟醫院,04-36060666#4018,中區,台中市,"24.19590900910713, 120.72158661268189"
抗龜殼花及赤尾鮐蛇毒血清,佛教慈濟醫療財團法人台中慈濟醫院,04-36060666#4018,中區,台中市,"24.19590900910713, 120.72158661268189"
抗百步蛇毒血清,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,台北區,新北市,"24.98619722907502, 121.53521781166233"
抗雨傘節及飯匙倩蛇毒血清,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,台北區,新北市,"24.98619722907502, 121.53521781166233"
抗龜殼花及赤尾鮐蛇毒血清,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,台北區,新北市,"24.98619722907502, 121.53521781166233"
抗百步蛇毒血清,佛教慈濟醫療財團法人玉里慈濟醫院,03-8882718#802,東區,花蓮縣,"23.33513056389516, 121.3185882690405"
抗雨傘節及飯匙倩蛇毒血清,佛教慈濟醫療財團法人玉里慈濟醫院,03-8882718#802,東區,花蓮縣,"23.33513056389516, 121.3185882690405"
抗龜殼花及赤尾鮐蛇毒血清,佛教慈濟醫療財團法人玉里慈濟醫院,03-8882718#802,東區,花蓮縣,"23.33513056389516, 121.3185882690405"
抗百步蛇毒血清,佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825#3095,東區,花蓮縣,"23.995974502879324, 121.59385545816029"
抗雨傘節及飯匙倩蛇毒血清,佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825#3095,東區,花蓮縣,"23.995974502879324, 121.59385545816029"
抗龜殼花及赤尾鮐蛇毒血清,佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825#3095,東區,花蓮縣,"23.995974502879324, 121.59385545816029"
抗鎖鏈蛇毒血清,佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825#3095,東區,花蓮縣,"23.995974502879324, 121.59385545816029"
抗百步蛇毒血清,佛教慈濟醫療財團法人關山慈濟醫院,089-814880#152,東區,台東縣,"23.057421683795553, 121.166844872928"
抗雨傘節及飯匙倩蛇毒血清,佛教慈濟醫療財團法人關山慈濟醫院,089-814880#152,東區,台東縣,"23.057421683795553, 121.166844872928"
抗龜殼花及赤尾鮐蛇毒血清,佛教慈濟醫療財團法人關山慈濟醫院,089-814880#152,東區,台東縣,"23.057421683795553, 121.166844872928"
抗鎖鏈蛇毒血清,佛教慈濟醫療財團法人關山慈濟醫院,089-814880#152,東區,台東縣,"23.057421683795553, 121.166844872928"
抗雨傘節及飯匙倩蛇毒血清,李綜合醫療社團法人大甲李綜合醫院,04-26862288#2162,中區,台中市,"24.350840729322623, 120.61808912672365"
抗龜殼花及赤尾鮐蛇毒血清,李綜合醫療社團法人大甲李綜合醫院,04-26862288#2162,中區,台中市,"24.350840729322623, 120.61808912672365"
抗雨傘節及飯匙倩蛇毒血清,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,03-3613141#3358,北區,桃園市,"24.982210809518378, 121.31255908440265"
抗龜殼花及赤尾鮐蛇毒血清,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,03-3613141#3358,北區,桃園市,"24.982210809518378, 121.31255908440265"
抗雨傘節及飯匙倩蛇毒血清,秀傳醫療社團法人秀傳紀念醫院,04-7256166#81155,中區,彰化縣,"24.069725351199885, 120.53809304922356"
抗龜殼花及赤尾鮐蛇毒血清,秀傳醫療社團法人秀傳紀念醫院,04-7256166#81155,中區,彰化縣,"24.069725351199885, 120.53809304922356"
抗雨傘節及飯匙倩蛇毒血清,秀傳醫療財團法人彰濱秀傳紀念醫院,04-7813888#70255,中區,彰化縣,"24.078667290152662, 120.41068035555598"
抗龜殼花及赤尾鮐蛇毒血清,秀傳醫療財團法人彰濱秀傳紀念醫院,04-7813888#70255,中區,彰化縣,"24.078667290152662, 120.41068035555598"
抗龜殼花及赤尾鮐蛇毒血清,亞洲大學附屬醫院,04-37061668#1146,中區,台中市,"24.053739850682714, 120.6860043113775"
抗雨傘節及飯匙倩蛇毒血清,奇美醫療財團法人佳里奇美醫院,06-7263333,南區,台南市,"23.181925312333295, 120.18388835739512"
抗龜殼花及赤尾鮐蛇毒血清,奇美醫療財團法人佳里奇美醫院,06-7263333,南區,台南市,"23.181925312333295, 120.18388835739512"
抗雨傘節及飯匙倩蛇毒血清,奇美醫療財團法人奇美醫院,06-2812811#52533,南區,台南市,"23.022264229128, 120.22192794058331"
抗龜殼花及赤尾鮐蛇毒血清,奇美醫療財團法人奇美醫院,06-2812811#52533,南區,台南市,"23.022264229128, 120.22192794058331"
抗雨傘節及飯匙倩蛇毒血清,宜蘭縣南澳鄉衛生所,039-981019,台北區,宜蘭縣,"24.465951728262024, 121.80344071138242"
抗龜殼花及赤尾鮐蛇毒血清,宜蘭縣南澳鄉衛生所,039-981019,台北區,宜蘭縣,"24.465951728262024, 121.80344071138242"
抗雨傘節及飯匙倩蛇毒血清,怡仁綜合醫院,03-4855566#1206,北區,桃園市,"24.917152336722157, 121.15547683837417"
抗龜殼花及赤尾鮐蛇毒血清,怡仁綜合醫院,03-4855566#1206,北區,桃園市,"24.917152336722157, 121.15547683837417"
抗雨傘節及飯匙倩蛇毒血清,東元醫療社團法人東元綜合醫院,03-5527000#1185,北區,新竹縣,"24.824077734474955, 121.01408664392149"
抗龜殼花及赤尾鮐蛇毒血清,東元醫療社團法人東元綜合醫院,03-5527000#1185,北區,新竹縣,"24.824077734474955, 121.01408664392149"
抗雨傘節及飯匙倩蛇毒血清,東基醫療財團法人台東基督教醫院,089-323362#1146,東區,台東縣,"22.76409664080444, 121.14610036903393"
抗龜殼花及赤尾鮐蛇毒血清,東基醫療財團法人台東基督教醫院,089-323362#1146,東區,台東縣,"22.76409664080444, 121.14610036903393"
抗雨傘節及飯匙倩蛇毒血清,東勢區農會附設農民醫院,04-25771919#660,中區,台中市,"24.253748376639255, 120.82910625555813"
抗龜殼花及赤尾鮐蛇毒血清,東勢區農會附設農民醫院,04-25771919#660,中區,台中市,"24.253748376639255, 120.82910625555813"
抗雨傘節及飯匙倩蛇毒血清,枋寮醫療社團法人枋寮醫院,08-8789991#3201,高屏區,屏東縣,"22.364118928908585, 120.59627906533068"
抗龜殼花及赤尾鮐蛇毒血清,枋寮醫療社團法人枋寮醫院,08-8789991#3201,高屏區,屏東縣,"22.364118928908585, 120.59627906533068"
抗鎖鏈蛇毒血清,枋寮醫療社團法人枋寮醫院,08-8789991#3201,高屏區,屏東縣,"22.364118928908585, 120.59627906533068"
抗龜殼花及赤尾鮐蛇毒血清,林新醫院,04-22586688#1719,中區,台中市,"24.149121553013607, 120.64030721137874"
抗雨傘節及飯匙倩蛇毒血清,金門縣烈嶼鄉衛生所,082-362078,台北區,金門縣,"24.43580168610743, 118.23963314812622"
抗雨傘節及飯匙倩蛇毒血清,金門縣衛生局,082-330697#615,台北區,金門縣,"24.440484565781098, 118.4198814555603"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人台北長庚紀念醫院,02-27135211#3673,台北區,台北市,"25.055689549205887, 121.54955998255417"
抗雨傘節及飯匙倩蛇毒血清,長庚醫療財團法人林口長庚紀念醫院,03-3281200#2799,北區,桃園市,"25.06118217180439, 121.36761491323924"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人林口長庚紀念醫院,03-3281200#2799,北區,桃園市,"25.06118217180439, 121.36761491323924"
抗雨傘節及飯匙倩蛇毒血清,長庚醫療財團法人高雄長庚紀念醫院,07-7317123,高屏區,高雄市,"22.649808111551984, 120.35612034019692"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人高雄長庚紀念醫院,07-7317123,高屏區,高雄市,"22.649808111551984, 120.35612034019692"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人基隆長庚紀念醫院,02-24313131#2194,台北區,基隆市,"25.149112937313777, 121.70774319789788"
抗雨傘節及飯匙倩蛇毒血清,長庚醫療財團法人雲林長庚紀念醫院,05-6915151#2132,南區,雲林縣,"23.795768503370045, 120.21857475370317"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人雲林長庚紀念醫院,05-6915151#2132,南區,雲林縣,"23.795768503370045, 120.21857475370317"
抗雨傘節及飯匙倩蛇毒血清,長庚醫療財團法人嘉義長庚紀念醫院,05-3621000#2469,南區,嘉義縣,"23.462858160590223, 120.28531652856262"
抗龜殼花及赤尾鮐蛇毒血清,長庚醫療財團法人嘉義長庚紀念醫院,05-3621000#2469,南區,嘉義縣,"23.462858160590223, 120.28531652856262"
抗龜殼花及赤尾鮐蛇毒血清,南投縣中寮鄉衛生所,049-2691404,中區,南投縣,"23.881014849750695, 120.7655485113754"
抗百步蛇毒血清,南投縣仁愛鄉衛生所,049-2802341#102,中區,南投縣,"24.024483472310628, 121.13439302671978"
抗雨傘節及飯匙倩蛇毒血清,南投縣仁愛鄉衛生所,049-2802341#102,中區,南投縣,"24.024483472310628, 121.13439302671978"
抗龜殼花及赤尾鮐蛇毒血清,南投縣仁愛鄉衛生所,049-2802341#102,中區,南投縣,"24.024483472310628, 121.13439302671978"
抗百步蛇毒血清,南投縣信義鄉衛生所,049-2791148#1148,中區,南投縣,"23.696556239716724, 120.85467109788023"
抗雨傘節及飯匙倩蛇毒血清,南投縣信義鄉衛生所,049-2791148#1148,中區,南投縣,"23.696556239716724, 120.85467109788023"
抗百步蛇毒血清,南投縣魚池鄉衛生所,049-2895513#205,中區,南投縣,"23.69649729418638, 120.85461745370202"
抗雨傘節及飯匙倩蛇毒血清,南投縣魚池鄉衛生所,049-2895513#205,中區,南投縣,"23.69649729418638, 120.85461745370202"
抗龜殼花及赤尾鮐蛇毒血清,南投縣魚池鄉衛生所,049-2895513#205,中區,南投縣,"23.69649729418638, 120.85461745370202"
抗百步蛇毒血清,南投縣鹿谷鄉衛生所,049-2752002,中區,南投縣,"23.7451873699323, 120.75451464205895"
抗雨傘節及飯匙倩蛇毒血清,南投縣鹿谷鄉衛生所,049-2752002,中區,南投縣,"23.7451873699323, 120.75451464205895"
抗龜殼花及赤尾鮐蛇毒血清,南投縣鹿谷鄉衛生所,049-2752002,中區,南投縣,"23.7451873699323, 120.75451464205895"
抗雨傘節及飯匙倩蛇毒血清,南門醫療社團法人南門醫院,08-8894568#60及11,高屏區,屏東縣,"22.001055903424678, 120.74548521505326"
抗龜殼花及赤尾鮐蛇毒血清,南門醫療社團法人南門醫院,08-8894568#60及11,高屏區,屏東縣,"22.001055903424678, 120.74548521505326"
抗鎖鏈蛇毒血清,南門醫療社團法人南門醫院,08-8894568#60及11,高屏區,屏東縣,"22.001055903424678, 120.74548521505326"
抗雨傘節及飯匙倩蛇毒血清,屏東縣琉球鄉衛生所,08-8612513,高屏區,屏東縣,"22.348620136665392, 120.37835026902947"
抗龜殼花及赤尾鮐蛇毒血清,屏東縣琉球鄉衛生所,08-8612513,高屏區,屏東縣,"22.348620136665392, 120.37835026902947"
抗龜殼花及赤尾鮐蛇毒血清,屏東縣滿州鄉衛生所,08-8801279,高屏區,屏東縣,"22.01876523355521, 120.83802226902586"
抗百步蛇毒血清,屏東縣霧台鄉衛生所,08-7902232,高屏區,屏東縣,"22.75002016222366, 120.72607362670509"
抗雨傘節及飯匙倩蛇毒血清,屏東縣霧台鄉衛生所,08-7902232,高屏區,屏東縣,"22.75002016222366, 120.72607362670509"
抗龜殼花及赤尾鮐蛇毒血清,屏東縣霧台鄉衛生所,08-7902232,高屏區,屏東縣,"22.75002016222366, 120.72607362670509"
抗百步蛇毒血清,屏基醫療財團法人屏東基督教醫院,08-7363026,高屏區,屏東縣,"22.682271056664607, 120.50271289498998"
抗雨傘節及飯匙倩蛇毒血清,屏基醫療財團法人屏東基督教醫院,08-7363026,高屏區,屏東縣,"22.682271056664607, 120.50271289498998"
抗龜殼花及赤尾鮐蛇毒血清,屏基醫療財團法人屏東基督教醫院,08-7363026,高屏區,屏東縣,"22.682271056664607, 120.50271289498998"
抗鎖鏈蛇毒血清,屏基醫療財團法人屏東基督教醫院,08-7363026,高屏區,屏東縣,"22.682271056664607, 120.50271289498998"
抗雨傘節及飯匙倩蛇毒血清,恆基醫療財團法人恆春基督教醫院,08-8892293#136,高屏區,屏東縣,"22.002514744404685, 120.74104598251878"
抗龜殼花及赤尾鮐蛇毒血清,恆基醫療財團法人恆春基督教醫院,08-8892293#136,高屏區,屏東縣,"22.002514744404685, 120.74104598251878"
抗雨傘節及飯匙倩蛇毒血清,苑裡李綜合醫院,037-862387#1112,北區,苗栗縣,"24.441863322958184, 120.65270200953269"
抗龜殼花及赤尾鮐蛇毒血清,苑裡李綜合醫院,037-862387#1112,北區,苗栗縣,"24.441863322958184, 120.65270200953269"
抗百步蛇毒血清,振興醫療財團法人振興醫院,02-28264400#5640,台北區,台北市,"25.116199229971176, 121.52312344291497"
抗雨傘節及飯匙倩蛇毒血清,振興醫療財團法人振興醫院,02-28264400#5640,台北區,台北市,"25.1164170587741, 121.52282276324017"
